filename,actual_label,r1,r2,r3,label,video_location,tfrecord_filename
inflating/yt-vvIxdBxctWY_15.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-vvIxdBxctWY_15.tfrecord
inflating/yt-1haPDc5SfXs_15.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-1haPDc5SfXs_15.tfrecord
inflating/yt-L3dPFOVuTVw_6.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-L3dPFOVuTVw_6.tfrecord
inflating/vb-taitung-city-taiwn-07-june-2015-two-hot-air-balloon-is-inflated-partially-with-cold-air-from-a-gas-powered-fan-before-the-propane-burners-are-used-for-final-inflation-rpgm93e2imz3zk9z_11.mp4,inflating,0,0,3,inflating,MIT_training,inflating/vb-taitung-city-taiwn-07-june-2015-two-hot-air-balloon-is-inflated-partially-with-cold-air-from-a-gas-powered-fan-before-the-propane-burners-are-used-for-final-inflation-rpgm93e2imz3zk9z_11.tfrecord
inflating/vine-MX5nFhJ6rME_3.mp4,inflating,0,0,3,inflating,MIT_training,inflating/vine-MX5nFhJ6rME_3.tfrecord
blowing/yt-BH0UDTwjHOI_49.mp4,blowing,0,1,2,inflating,MIT_validation,inflating/yt-BH0UDTwjHOI_49.tfrecord
inflating/yt-wZCqSNznRu4_104.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-wZCqSNznRu4_104.tfrecord
inflating/yt-QIqVSXRlBT4_16.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-QIqVSXRlBT4_16.tfrecord
inflating/yt-XceaPNA94uY_36.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-XceaPNA94uY_36.tfrecord
inflating/vb-A-hot-air-balloon-gets-inflated-by-propane-gas-E3xAqc6rl_1.mp4,inflating,0,0,3,inflating,MIT_training,inflating/vb-A-hot-air-balloon-gets-inflated-by-propane-gas-E3xAqc6rl_1.tfrecord
blowing/yt-GjYX8p2lweA_26.mp4,blowing,0,1,2,inflating,MIT_training,inflating/yt-GjYX8p2lweA_26.tfrecord
inflating/yt-UmFoxjkt1qc_3.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-UmFoxjkt1qc_3.tfrecord
inflating/yt-Geix_vdufzA_7.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-Geix_vdufzA_7.tfrecord
blowing/yt-55IHJUQEfjo_88.mp4,blowing,0,0,3,inflating,MIT_training,inflating/yt-55IHJUQEfjo_88.tfrecord
inflating/yt-na9Y-kN2XIY_79.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-na9Y-kN2XIY_79.tfrecord
inflating/wl-LR6hiB-k_1.mp4,inflating,1,0,2,inflating,MIT_training,inflating/wl-LR6hiB-k_1.tfrecord
inflating/yt-89RLtE8SemY_154.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-89RLtE8SemY_154.tfrecord
inflating/vb-SANTA-PAULA-CA---JUL-26-A-balloon-crew-inflates-the-envelope-of-their-hot-air-balloon-at-the-Citrus-Classic-Hot-Air-Balloon-Festival-on-July-26-2013-in-Santa-Paula-CA-iLDVmn5_2.mp4,inflating,0,1,2,inflating,MIT_training,inflating/vb-SANTA-PAULA-CA---JUL-26-A-balloon-crew-inflates-the-envelope-of-their-hot-air-balloon-at-the-Citrus-Classic-Hot-Air-Balloon-Festival-on-July-26-2013-in-Santa-Paula-CA-iLDVmn5_2.tfrecord
blowing/yt-Rty_0u3-kic_39.mp4,blowing,0,0,3,inflating,MIT_training,inflating/yt-Rty_0u3-kic_39.tfrecord
inflating/yt-a4RN7dA6NGc_8.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-a4RN7dA6NGc_8.tfrecord
inflating/yt-NcOV4iefLk8_885.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-NcOV4iefLk8_885.tfrecord
inflating/yt-P58RJJ1yLNk_97.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-P58RJJ1yLNk_97.tfrecord
inflating/yt-GavMOkVARTM_4.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-GavMOkVARTM_4.tfrecord
inflating/yt-V3EEDwXPiE4_36.mp4,inflating,0,1,2,inflating,MIT_validation,inflating/yt-V3EEDwXPiE4_36.tfrecord
inflating/yt-UVtlKX2mTWM_1280.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-UVtlKX2mTWM_1280.tfrecord
inflating/yt-aRzSWZDsE2o_27.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-aRzSWZDsE2o_27.tfrecord
inflating/yt-yP0Fa8G4Fe8_632.mp4,inflating,0,0,3,inflating,MIT_validation,inflating/yt-yP0Fa8G4Fe8_632.tfrecord
blowing/yt-r6S_7nfAgLs_13.mp4,blowing,0,1,2,inflating,MIT_training,inflating/yt-r6S_7nfAgLs_13.tfrecord
inflating/yt-cbIRmp_CsFQ_38.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-cbIRmp_CsFQ_38.tfrecord
inflating/yt-m-NgmkItkeQ_19.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-m-NgmkItkeQ_19.tfrecord
inflating/yt-duIIaaKo9n8_81.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-duIIaaKo9n8_81.tfrecord
inflating/yt-T_QdJkme8wU_4.mp4,inflating,0,1,2,inflating,MIT_training,inflating/yt-T_QdJkme8wU_4.tfrecord
blowing/yt-gJfPH4j2vbU_57.mp4,blowing,1,0,2,inflating,MIT_training,inflating/yt-gJfPH4j2vbU_57.tfrecord
inflating/yt-UNuXvYEt_wo_104.mp4,inflating,1,0,2,inflating,MIT_training,inflating/yt-UNuXvYEt_wo_104.tfrecord
inflating/udvXmhIAq9Q_131.mp4,inflating,0,1,2,inflating,MIT_training,inflating/udvXmhIAq9Q_131.tfrecord
inflating/yt-SC6jkqxzikc_219.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-SC6jkqxzikc_219.tfrecord
inflating/yt-QQyATelMbV4_409.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-QQyATelMbV4_409.tfrecord
inflating/yt-JIy1rrib3hw_4.mp4,inflating,0,0,3,inflating,MIT_training,inflating/yt-JIy1rrib3hw_4.tfrecord
