,filename,MIT label,AVMIT label,tfrecord_filename
0,mowing/yt-PtjlxFCQps0_1026.mp4,mowing,mowing,mowing/yt-PtjlxFCQps0_1026.tfrecord
1,drumming/yt-I9Eu9-Q4tiI_12.mp4,drumming,drumming,drumming/yt-I9Eu9-Q4tiI_12.tfrecord
2,howling/meta-4433281_79.mp4,howling,howling,howling/meta-4433281_79.tfrecord
3,sneezing/vine-MgjmiYvmuz0_2.mp4,sneezing,sneezing,sneezing/vine-MgjmiYvmuz0_2.tfrecord
4,mowing/flickr-7-7-3-7-5-0-0-2-6077375002_26.mp4,mowing,mowing,mowing/flickr-7-7-3-7-5-0-0-2-6077375002_26.tfrecord
5,sneezing/vine-Sneezing-in-school-compared-to-sneezing-at-home-MIDDQiHpQX0_2.mp4,sneezing,sneezing,sneezing/vine-Sneezing-in-school-compared-to-sneezing-at-home-MIDDQiHpQX0_2.tfrecord
6,barking/vine-barking-at-the-boomies-MUIViWEd0Dz_1.mp4,barking,barking,barking/vine-barking-at-the-boomies-MUIViWEd0Dz_1.tfrecord
7,sanding/yt-atpR_-Cg-48_61.mp4,sanding,sanding,sanding/yt-atpR_-Cg-48_61.tfrecord
8,inflating/yt-FhYXfJmaBtU_624.mp4,inflating,inflating,inflating/yt-FhYXfJmaBtU_624.tfrecord
9,tapping/yt-z2GAl6KwTnA_23.mp4,tapping,tapping,tapping/yt-z2GAl6KwTnA_23.tfrecord
10,raining/getty-lightning-lights-with-heavy-raining-video-id640647222_4.mp4,raining,raining,raining/getty-lightning-lights-with-heavy-raining-video-id640647222_4.tfrecord
11,drumming/yt-hSK4A8V15zU_44.mp4,drumming,drumming,drumming/yt-hSK4A8V15zU_44.tfrecord
12,diving/flickr-4-4-2-0-4-4-7-7-16044204477_1.mp4,diving,diving,diving/flickr-4-4-2-0-4-4-7-7-16044204477_1.tfrecord
13,laughing/yt-7WM1gBk2e3E_362.mp4,laughing,giggling,giggling/yt-7WM1gBk2e3E_362.tfrecord
14,inflating/yt-bTyYWaiFlOc_54.mp4,inflating,inflating,inflating/yt-bTyYWaiFlOc_54.tfrecord
15,laughing/yt-ke-s8CdnyTg_15.mp4,laughing,giggling,giggling/yt-ke-s8CdnyTg_15.tfrecord
16,sneezing/yt-g0l5mOEIxhs_342.mp4,sneezing,sneezing,sneezing/yt-g0l5mOEIxhs_342.tfrecord
17,boiling/vb-boiling-fizz-watermov-ceufg0e_6.mp4,boiling,frying,frying/vb-boiling-fizz-watermov-ceufg0e_6.tfrecord
18,vacuuming/vb-woman-using-vacuum-cleaner-scowfyfjisgad5j5_2.mp4,vacuuming,vacuuming,vacuuming/vb-woman-using-vacuum-cleaner-scowfyfjisgad5j5_2.tfrecord
19,splashing/yt-JbPqIIndKRk_17.mp4,splashing,diving,diving/yt-JbPqIIndKRk_17.tfrecord
20,howling/vine-M5tpddw9qBb_2.mp4,howling,howling,howling/vine-M5tpddw9qBb_2.tfrecord
21,sanding/yt-fo0wv8sraec_38.mp4,sanding,sanding,sanding/yt-fo0wv8sraec_38.tfrecord
22,boiling/getty-bubbling-mud-pool-video-id618591181_5.mp4,boiling,frying,frying/getty-bubbling-mud-pool-video-id618591181_5.tfrecord
23,howling/yt-JuK-y3ZlSeg_47.mp4,howling,howling,howling/yt-JuK-y3ZlSeg_47.tfrecord
24,shredding/yt-B-xvK3EVD18_23.mp4,shredding,shredding,shredding/yt-B-xvK3EVD18_23.tfrecord
25,sneezing/vine-I-CANT-STOP-SNEEZING-LMFAO-MjApQa1TQ1x_1.mp4,sneezing,sneezing,sneezing/vine-I-CANT-STOP-SNEEZING-LMFAO-MjApQa1TQ1x_1.tfrecord
26,laughing/yt-pFQdTZdxsPE_176.mp4,laughing,giggling,giggling/yt-pFQdTZdxsPE_176.tfrecord
27,shredding/yt-ChrIet7GUeg_11.mp4,shredding,shredding,shredding/yt-ChrIet7GUeg_11.tfrecord
28,mowing/yt-erM_9zlkKNM_310.mp4,mowing,mowing,mowing/yt-erM_9zlkKNM_310.tfrecord
29,swimming/yt-TKmeS5Oa4BE_3.mp4,swimming,diving,diving/yt-TKmeS5Oa4BE_3.tfrecord
30,tapping/yt-eQ0mr6iwKLw_1138.mp4,tapping,tapping,tapping/yt-eQ0mr6iwKLw_1138.tfrecord
31,tapping/getty--video-id564938961_2.mp4,tapping,tapping,tapping/getty--video-id564938961_2.tfrecord
32,howling/yt-o_LwNmUHK70_6.mp4,howling,howling,howling/yt-o_LwNmUHK70_6.tfrecord
33,inflating/yt-1w7gtv5Hdjg_6.mp4,inflating,inflating,inflating/yt-1w7gtv5Hdjg_6.tfrecord
34,vacuuming/yt-My7IrY7oXE0_17.mp4,vacuuming,vacuuming,vacuuming/yt-My7IrY7oXE0_17.tfrecord
35,sanding/yt-Gxf9HVScCDg_574.mp4,sanding,sanding,sanding/yt-Gxf9HVScCDg_574.tfrecord
36,frying/getty-fried-chicken-video-id469019876_2.mp4,frying,frying,frying/getty-fried-chicken-video-id469019876_2.tfrecord
37,raining/yt-xksF4vYO2uQ_35.mp4,raining,raining,raining/yt-xksF4vYO2uQ_35.tfrecord
38,vacuuming/yt-xuqYNx8zaXM_5.mp4,vacuuming,vacuuming,vacuuming/yt-xuqYNx8zaXM_5.tfrecord
39,blowing/yt-Jp0g-qkvdFQ_552.mp4,blowing,inflating,inflating/yt-Jp0g-qkvdFQ_552.tfrecord
40,sanding/getty-machining-video-id625278466_1.mp4,sanding,sanding,sanding/getty-machining-video-id625278466_1.tfrecord
41,boiling/vb-the-water-boils-in-an-oxygen-bath-in-a-spa-eacwivgolije4r4xe_6.mp4,boiling,frying,frying/vb-the-water-boils-in-an-oxygen-bath-in-a-spa-eacwivgolije4r4xe_6.tfrecord
42,raining/getty-dashcam-rainstorm-in-the-south-of-america-video-id851794732_3.mp4,raining,raining,raining/getty-dashcam-rainstorm-in-the-south-of-america-video-id851794732_3.tfrecord
43,sanding/yt-Ad7f3w1VahM_4.mp4,sanding,sanding,sanding/yt-Ad7f3w1VahM_4.tfrecord
44,splashing/getty-colored-paint-splashes-in-slow-motion-video-id643376236_14.mp4,splashing,diving,diving/getty-colored-paint-splashes-in-slow-motion-video-id643376236_14.tfrecord
45,tapping/yt-7jhWw-YlHQ0_96.mp4,tapping,tapping,tapping/yt-7jhWw-YlHQ0_96.tfrecord
46,tapping/yt-1MPJSccFb2c_4.mp4,tapping,tapping,tapping/yt-1MPJSccFb2c_4.tfrecord
47,mowing/yt-y1tU1fnXQWc_139.mp4,mowing,mowing,mowing/yt-y1tU1fnXQWc_139.tfrecord
48,barking/vine-Rex-is-howling-MXVM1xDBmdQ_1.mp4,barking,barking,barking/vine-Rex-is-howling-MXVM1xDBmdQ_1.tfrecord
49,mowing/MFGZSs7NKzA_230.mp4,mowing,mowing,mowing/MFGZSs7NKzA_230.tfrecord
50,whistling/vine-today-I-learned-madmartigan-hates-my-whistling-cat-jerk-MWEBHM0rhi1_1.mp4,whistling,whistling,whistling/vine-today-I-learned-madmartigan-hates-my-whistling-cat-jerk-MWEBHM0rhi1_1.tfrecord
51,dripping/flickr-6-3-4-7-6-9-4-6-3263476946_4.mp4,dripping,raining,raining/flickr-6-3-4-7-6-9-4-6-3263476946_4.tfrecord
52,swimming/flickr-5-2-3-2-2-1-1-5-7152322115_6.mp4,swimming,diving,diving/flickr-5-2-3-2-2-1-1-5-7152322115_6.tfrecord
53,frying/getty-cooking-cabbage-bell-peppers-with-meat-and-sauce-video-id544394070_10.mp4,frying,frying,frying/getty-cooking-cabbage-bell-peppers-with-meat-and-sauce-video-id544394070_10.tfrecord
54,mowing/yt-aVTp2gmSUJ8_1.mp4,mowing,mowing,mowing/yt-aVTp2gmSUJ8_1.tfrecord
55,drumming/5-8-2-1-4-7-7-0-3758214770_46.mp4,drumming,drumming,drumming/5-8-2-1-4-7-7-0-3758214770_46.tfrecord
56,howling/vine-Mq0vvdJOJjA_3.mp4,howling,howling,howling/vine-Mq0vvdJOJjA_3.tfrecord
57,barking/vine-barking-at-my-dogs-MgjzDe6JvIj_1.mp4,barking,barking,barking/vine-barking-at-my-dogs-MgjzDe6JvIj_1.tfrecord
58,splashing/SktD5CxT88I_15.mp4,splashing,diving,diving/SktD5CxT88I_15.tfrecord
59,howling/yt-NO9eob0PEBk_12.mp4,howling,howling,howling/yt-NO9eob0PEBk_12.tfrecord
